Year,Month_Number,Month_Name,Quarter,Region,Sales_Target
2024,1,January,Q1,East,6651533.65
2024,1,January,Q1,North,6322213.98
2024,1,January,Q1,South,5074167.99
2024,1,January,Q1,West,5523239.68
2024,2,February,Q1,East,6115900.24
2024,2,February,Q1,North,4730308.91
2024,2,February,Q1,South,6446036.81
2024,2,February,Q1,West,4570060.98
2024,3,March,Q1,East,5301478.73
2024,3,March,Q1,North,5765574.09
2024,3,March,Q1,South,6512287.29
2024,3,March,Q1,West,6166938.33
2024,4,April,Q2,East,6930554.68
2024,4,April,Q2,North,7469548.34
2024,4,April,Q2,South,5382420.8
2024,4,April,Q2,West,4564745.69
2024,5,May,Q2,East,5424769.77
2024,5,May,Q2,North,7806632.42
2024,5,May,Q2,South,6677270.17
2024,5,May,Q2,West,7284848.69
2024,6,June,Q2,East,6530336.66
2024,6,June,Q2,North,3920739.31
2024,6,June,Q2,South,7219670.51
2024,6,June,Q2,West,5910191.28
2024,7,July,Q3,East,7137649.02
2024,7,July,Q3,North,7426774.18
2024,7,July,Q3,South,5336691.0
2024,7,July,Q3,West,6446143.18
2024,8,August,Q3,East,5932917.74
2024,8,August,Q3,North,8024088.52
2024,8,August,Q3,South,6309138.94
2024,8,August,Q3,West,5299577.06
2024,9,September,Q3,East,6619991.72
2024,9,September,Q3,North,6844533.09
2024,9,September,Q3,South,4621305.4
2024,9,September,Q3,West,6571626.74
2024,10,October,Q4,East,5556992.74
2024,10,October,Q4,North,6402499.96
2024,10,October,Q4,South,6961419.34
2024,10,October,Q4,West,5874143.7
2024,11,November,Q4,East,6056521.02
2024,11,November,Q4,North,4774614.9
2024,11,November,Q4,South,5480731.19
2024,11,November,Q4,West,6844338.96
2024,12,December,Q4,East,6983742.06
2024,12,December,Q4,North,7456746.98
2024,12,December,Q4,South,5450292.47
2024,12,December,Q4,West,6078619.24
2025,1,January,Q1,East,6712556.9
2025,1,January,Q1,North,6499472.32
2025,1,January,Q1,South,4939455.57
2025,1,January,Q1,West,5473480.76
2025,2,February,Q1,East,6172009.42
2025,2,February,Q1,North,4862934.4
2025,2,February,Q1,South,6274903.08
2025,2,February,Q1,West,4528889.26
2025,3,March,Q1,East,5350116.15
2025,3,March,Q1,North,5927225.7
2025,3,March,Q1,South,6339394.71
2025,3,March,Q1,West,6111380.33
2025,4,April,Q2,East,6994137.76
2025,4,April,Q2,North,7678974.93
2025,4,April,Q2,South,5239524.68
2025,4,April,Q2,West,4523621.85
2025,5,May,Q2,East,5474538.3
2025,5,May,Q2,North,8025509.97
2025,5,May,Q2,South,6499997.52
2025,5,May,Q2,West,7219219.43
2025,6,June,Q2,East,6590248.0
2025,6,June,Q2,North,4030666.59
2025,6,June,Q2,South,7027997.85
2025,6,June,Q2,West,5856946.32
2025,7,July,Q3,East,7203132.04
2025,7,July,Q3,North,7635001.5
2025,7,July,Q3,South,5195008.94
2025,7,July,Q3,West,6388069.82
2025,8,August,Q3,East,5987348.18
2025,8,August,Q3,North,8249062.97
2025,8,August,Q3,South,6141639.68
2025,8,August,Q3,West,5251833.12
2025,9,September,Q3,East,6680725.59
2025,9,September,Q3,North,7036435.89
2025,9,September,Q3,South,4498615.88
2025,9,September,Q3,West,6512422.9
2025,10,October,Q4,East,5610425.36
2025,10,October,Q4,North,6590808.79
2025,10,October,Q4,South,6768046.58
2025,10,October,Q4,West,5818727.25
2025,11,November,Q4,East,6114756.8
2025,11,November,Q4,North,4915044.75
2025,11,November,Q4,South,5328488.66
2025,11,November,Q4,West,6779769.73
2025,12,December,Q4,East,7050893.43
2025,12,December,Q4,North,7676063.06
2025,12,December,Q4,South,5298895.46
2025,12,December,Q4,West,6021273.77
